"State...1","County","Average Income","Percent_COPD","Male 18-44","Male 45-64","Male 65+","Female 18-44","Female 45-64","Female 65+","Poverty","Encoded_Poverty","Unemployed","State...22","Area_Name","Male_Total","Female_Total","AQI","Average_Income","Income_Level","Unemployed_Level"
"Alabama","Autauga",45151,6.8,6,10.3,15.1,7.1,11.6,16.4,6296,"Low",1402,"AL","Autauga County, AL",31.4,35.1,52.978881371,45151,"Medium","Moderate"
"Alabama","Baldwin",51230,6.5,6,10.3,15.1,7.1,11.6,16.4,25526,"Medium",6086,"AL","Baldwin County, AL",31.4,35.1,51.893146249,51230,"Medium","High"
"Alabama","Barbour",37111,9.7,6,10.3,15.1,7.1,11.6,16.4,5089,"Low",667,"AL","Barbour County, AL",31.4,35.1,52.978881371,37111,"Medium","Low"
"Alabama","Bibb",34938,8.6,6,10.3,15.1,7.1,11.6,16.4,4204,"Low",632,"AL","Bibb County, AL",31.4,35.1,52.978881371,34938,"Medium","Low"
"Alabama","Blount",38133,7.8,6,10.3,15.1,7.1,11.6,16.4,6992,"Low",1126,"AL","Blount County, AL",31.4,35.1,52.978881371,38133,"Medium","Moderate"
"Alabama","Bullock",30495,9.8,6,10.3,15.1,7.1,11.6,16.4,2764,"Low",291,"AL","Bullock County, AL",31.4,35.1,52.978881371,30495,"Medium","Very Low"
"Alabama","Butler",39534,8.2,6,10.3,15.1,7.1,11.6,16.4,4226,"Low",881,"AL","Butler County, AL",31.4,35.1,52.978881371,39534,"Medium","Moderate"
"Alabama","Calhoun",39591,8.2,6,10.3,15.1,7.1,11.6,16.4,21630,"Medium",3613,"AL","Calhoun County, AL",31.4,35.1,52.978881371,39591,"Medium","High"
"Alabama","Chambers",36250,7.9,6,10.3,15.1,7.1,11.6,16.4,6699,"Low",1195,"AL","Chambers County, AL",31.4,35.1,52.978881371,36250,"Medium","Moderate"
"Alabama","Cherokee",39971,8.8,6,10.3,15.1,7.1,11.6,16.4,4513,"Low",592,"AL","Cherokee County, AL",31.4,35.1,52.978881371,39971,"Medium","Low"
"Alabama","Chilton",38532,8.3,6,10.3,15.1,7.1,11.6,16.4,6973,"Low",1083,"AL","Chilton County, AL",31.4,35.1,52.978881371,38532,"Medium","Moderate"
"Alabama","Choctaw",40531,8.8,6,10.3,15.1,7.1,11.6,16.4,2893,"Low",343,"AL","Choctaw County, AL",31.4,35.1,52.978881371,40531,"Medium","Low"
"Alabama","Clarke",41234,8.5,6,10.3,15.1,7.1,11.6,16.4,4366,"Low",771,"AL","Clarke County, AL",31.4,35.1,52.978881371,41234,"Medium","Low"
"Alabama","Clay",35069,8.7,6,10.3,15.1,7.1,11.6,16.4,2560,"Low",272,"AL","Clay County, AL",31.4,35.1,54.706551506,35069,"Medium","Very Low"
"Alabama","Cleburne",37928,8.5,6,10.3,15.1,7.1,11.6,16.4,2236,"Low",293,"AL","Cleburne County, AL",31.4,35.1,52.978881371,37928,"Medium","Very Low"
"Alabama","Coffee",45039,7.3,6,10.3,15.1,7.1,11.6,16.4,8516,"Low",1055,"AL","Coffee County, AL",31.4,35.1,52.978881371,45039,"Medium","Moderate"
"Alabama","Colbert",40052,7.5,6,10.3,15.1,7.1,11.6,16.4,9396,"Low",1721,"AL","Colbert County, AL",31.4,35.1,52.978881371,40052,"Medium","Moderate"
"Alabama","Conecuh",37100,8.5,6,10.3,15.1,7.1,11.6,16.4,2528,"Low",363,"AL","Conecuh County, AL",31.4,35.1,52.978881371,37100,"Medium","Low"
"Alabama","Coosa",36000,7.5,6,10.3,15.1,7.1,11.6,16.4,1754,"Low",268,"AL","Coosa County, AL",31.4,35.1,52.978881371,36000,"Medium","Very Low"
"Alabama","Covington",37926,8.5,6,10.3,15.1,7.1,11.6,16.4,7317,"Low",830,"AL","Covington County, AL",31.4,35.1,52.978881371,37926,"Medium","Moderate"
"Alabama","Crenshaw",39935,8.3,6,10.3,15.1,7.1,11.6,16.4,2267,"Low",395,"AL","Crenshaw County, AL",31.4,35.1,52.978881371,39935,"Medium","Low"
"Alabama","Cullman",42181,7.8,6,10.3,15.1,7.1,11.6,16.4,11898,"Medium",1847,"AL","Cullman County, AL",31.4,35.1,52.978881371,42181,"Medium","Moderate"
"Alabama","Dale",40264,7.8,6,10.3,15.1,7.1,11.6,16.4,7587,"Low",1120,"AL","Dale County, AL",31.4,35.1,52.978881371,40264,"Medium","Moderate"
"Alabama","Dallas",39269,8.4,6,10.3,15.1,7.1,11.6,16.4,10914,"Medium",1723,"AL","Dallas County, AL",31.4,35.1,52.978881371,39269,"Medium","Moderate"
"Alabama","DeKalb",34596,9.5,6,10.3,15.1,7.1,11.6,16.4,13783,"Medium",1548,"AL","DeKalb County, AL",31.4,35.1,53.744556177,34596,"Medium","Moderate"
"Alabama","Elmore",44636,6.7,6,10.3,15.1,7.1,11.6,16.4,10138,"Medium",1979,"AL","Elmore County, AL",31.4,35.1,52.977246611,44636,"Medium","Moderate"
"Alabama","Escambia",36380,9.8,6,10.3,15.1,7.1,11.6,16.4,8147,"Low",979,"AL","Escambia County, AL",31.4,35.1,52.978881371,36380,"Medium","Moderate"
"Alabama","Etowah",39607,8.1,6,10.3,15.1,7.1,11.6,16.4,17605,"Medium",3461,"AL","Etowah County, AL",31.4,35.1,53.906124463,39607,"Medium","High"
"Alabama","Fayette",38222,9.3,6,10.3,15.1,7.1,11.6,16.4,3123,"Low",366,"AL","Fayette County, AL",31.4,35.1,52.978881371,38222,"Medium","Low"
"Alabama","Franklin",36497,9.1,6,10.3,15.1,7.1,11.6,16.4,5995,"Low",714,"AL","Franklin County, AL",31.4,35.1,52.978881371,36497,"Medium","Low"
"Alabama","Geneva",38181,9.3,6,10.3,15.1,7.1,11.6,16.4,5566,"Low",501,"AL","Geneva County, AL",31.4,35.1,52.978881371,38181,"Medium","Low"
"Alabama","Greene",36626,10.4,6,10.3,15.1,7.1,11.6,16.4,2520,"Low",361,"AL","Greene County, AL",31.4,35.1,52.978881371,36626,"Medium","Low"
